ID;Количество комнат;Тип;район;Адрес;Площадь, м2;Этаж;Цена;Ремонт;Ссылка на объявление
297571380;2;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, улица Седова, 71/1;44.3;10/17;9400000;Дизайнерский;https://www.cian.ru/sale/flat/297571380
295744543;2;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, улица Пискунова, 148/4;61.7;6/14;9500000;Евроремонт;https://www.cian.ru/sale/flat/295744543
299130220;2;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, набережная Верхняя, 161/13;64.6;13/16;9600000;;https://www.cian.ru/sale/flat/299130220
298029937;2;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, Сибирская улица, 26;58.3;9/18;9700000;Евроремонт;https://www.cian.ru/sale/flat/298029937
288796426;3;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК, с16;88.39;16/16;9939150;;https://www.cian.ru/sale/flat/288796426
296478578;;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, улица Пискунова, 134;63.06;19/19;9900000;;https://www.cian.ru/sale/flat/296478578
288796195;3;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК, с17;90.9;5/14;10034900;;https://www.cian.ru/sale/flat/288796195
298293123;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, улица Юрия Левитанского;49.25;10/18;10005919;;https://www.cian.ru/sale/flat/298293123
295101559;2;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, набережная Верхняя, 133;43.92;5/8;9975462;;https://www.cian.ru/sale/flat/295101559
270476578;;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, Байкальская улица, 428;59.75;8/9;10125575;;https://www.cian.ru/sale/flat/270476578
270476628;;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, Байкальская улица, 428;57.08;9/9;10209080;;https://www.cian.ru/sale/flat/270476628
294764320;;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, Байкальская улица, 428;57.54;9/9;10340085;;https://www.cian.ru/sale/flat/294764320
296478528;;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, улица Пискунова, 132;71.59;11/19;10600000;;https://www.cian.ru/sale/flat/296478528
299355058;2;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, Депутатская улица, 84/2;74.7;11/16;11400000;Евроремонт;https://www.cian.ru/sale/flat/299355058
286808030;2;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, набережная Верхняя;60.97;14/18;11506836;;https://www.cian.ru/sale/flat/286808030
300245842;3;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, проспект Маршала Жукова, 5/5;75.0;11/13;11600000;Евроремонт;https://www.cian.ru/sale/flat/300245842
286807967;2;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, набережная Верхняя;72.25;7/18;12175350;;https://www.cian.ru/sale/flat/286807967
